iter	Passed	Remaining
0	165	148695
1	179	80535
2	191	57277
3	205	45967
4	228	40815
5	251	37448
6	269	34357
7	287	32018
8	303	30043
9	323	28810
10	340	27533
11	357	26463
12	373	25508
13	397	25181
14	416	24549
15	434	23998
16	459	23842
17	493	24179
18	544	25248
19	614	27041
20	645	27029
21	667	26634
22	700	26706
23	732	26741
24	776	27169
25	805	27078
26	858	27755
27	896	27911
28	946	28435
29	1014	29406
30	1063	29801
31	1101	29872
32	1123	29521
33	1143	29124
34	1272	31445
35	1302	31260
36	1341	31284
37	1364	30961
38	1382	30531
39	1400	30100
40	1418	29709
41	1432	29263
42	1474	29390
43	1490	29000
44	1503	28570
45	1518	28187
46	1530	27770
47	1545	27434
48	1564	27170
49	1580	26872
50	1600	26638
51	1616	26354
52	1628	26017
53	1645	25781
54	1671	25684
55	1698	25593
56	1718	25412
57	1750	25409
58	1770	25235
59	1783	24963
60	1798	24733
61	1815	24539
62	1833	24356
63	1848	24139
64	1864	23956
65	1880	23756
66	1892	23530
67	1910	23371
68	1926	23196
69	1944	23052
70	1960	22895
71	1972	22683
72	1987	22511
73	2002	22352
74	2022	22242
75	2035	22071
76	2047	21884
77	2060	21718
78	2072	21535
79	2088	21405
80	2103	21271
81	2116	21112
82	2130	20969
83	2142	20816
84	2155	20663
85	2168	20527
86	2179	20366
87	2191	20224
88	2203	20079
89	2220	19987
90	2240	19917
91	2258	19835
92	2273	19728
93	2293	19662
94	2306	19542
95	2321	19443
96	2338	19362
97	2351	19246
98	2367	19156
99	2394	19152
100	2412	19084
101	2449	19167
102	2477	19173
103	2508	19202
104	2540	19234
105	2559	19175
106	2583	19147
107	2604	19100
108	2628	19072
109	2660	19105
110	2689	19115
111	2709	19066
112	2756	19198
113	2789	19231
114	2814	19215
115	2835	19161
116	2857	19126
117	2894	19179
118	2922	19178
119	2944	19140
120	2981	19196
121	3009	19192
122	3039	19198
123	3079	19271
124	3136	19447
125	3168	19461
126	3187	19402
127	3208	19352
128	3244	19392
129	3272	19382
130	3290	19314
131	3314	19284
132	3333	19225
133	3350	19150
134	3372	19113
135	3411	19164
136	3429	19102
137	3462	19121
138	3485	19084
139	3502	19013
140	3523	18964
141	3550	18950
142	3568	18888
143	3593	18864
144	3614	18818
145	3634	18769
146	3650	18700
147	3676	18682
148	3711	18706
149	3741	18708
150	3780	18750
151	3814	18771
152	3841	18756
153	3858	18693
154	3880	18650
155	3904	18620
156	3924	18573
157	3939	18500
158	3959	18454
159	3976	18391
160	4000	18360
161	4025	18339
162	4055	18338
163	4077	18299
164	4094	18240
165	4122	18226
166	4138	18164
167	4159	18122
168	4177	18070
169	4211	18085
170	4233	18048
171	4260	18032
172	4276	17972
173	4291	17906
174	4311	17862
175	4329	17810
176	4345	17750
177	4373	17739
178	4393	17698
179	4419	17677
180	4443	17651
181	4470	17636
182	4496	17617
183	4526	17614
184	4551	17592
185	4573	17558
186	4588	17496
187	4606	17445
188	4620	17383
189	4634	17319
190	4649	17260
191	4664	17202
192	4701	17221
193	4734	17230
194	4761	17214
195	4785	17189
196	4816	17188
197	4834	17141
198	4858	17113
199	4878	17074
200	4902	17047
201	4922	17010
202	4957	17020
203	4971	16961
204	4990	16919
205	5015	16896
206	5038	16869
207	5057	16826
208	5076	16782
209	5099	16754
210	5124	16734
211	5147	16703
212	5179	16706
213	5202	16675
214	5224	16644
215	5244	16607
216	5264	16569
217	5290	16551
218	5323	16552
219	5358	16563
220	5381	16533
221	5410	16524
222	5454	16559
223	5485	16555
224	5507	16522
225	5524	16475
226	5544	16436
227	5565	16404
228	5598	16405
229	5624	16385
230	5650	16363
231	5665	16314
232	5695	16304
233	5716	16269
234	5740	16244
235	5762	16212
236	5782	16177
237	5810	16162
238	5830	16124
239	5852	16093
240	5884	16090
241	5902	16048
242	5916	15995
243	5936	15960
244	5963	15942
245	5988	15920
246	6004	15874
247	6020	15827
248	6039	15790
249	6067	15774
250	6095	15760
251	6118	15733
252	6136	15693
253	6155	15656
254	6179	15630
255	6201	15601
256	6223	15571
257	6243	15535
258	6269	15516
259	6297	15502
260	6312	15454
261	6346	15454
262	6366	15419
263	6387	15387
264	6408	15357
265	6427	15319
266	6452	15297
267	6474	15269
268	6497	15242
269	6513	15197
270	6531	15159
271	6551	15126
272	6575	15101
273	6602	15085
274	6625	15057
275	6642	15017
276	6659	14978
277	6678	14942
278	6712	14940
279	6732	14906
280	6764	14900
281	6790	14881
282	6808	14844
283	6837	14830
284	6858	14800
285	6894	14800
286	6918	14776
287	6941	14750
288	6991	14780
289	7019	14764
290	7039	14731
291	7070	14722
292	7122	14755
293	7168	14775
294	7203	14773
295	7228	14749
296	7252	14724
297	7277	14701
298	7303	14679
299	7331	14663
300	7365	14657
301	7401	14655
302	7431	14641
303	7473	14652
304	7506	14643
305	7552	14661
306	7591	14663
307	7618	14643
308	7683	14695
309	7711	14675
310	7751	14680
311	7784	14670
312	7806	14639
313	7836	14625
314	7865	14607
315	7898	14597
316	7921	14568
317	7945	14541
318	7964	14506
319	7989	14480
320	8012	14452
321	8048	14447
322	8075	14425
323	8103	14406
324	8121	14369
325	8139	14330
326	8170	14317
327	8189	14282
328	8209	14247
329	8225	14208
330	8246	14176
331	8265	14140
332	8288	14112
333	8303	14071
334	8320	14032
335	8335	13992
336	8355	13959
337	8373	13922
338	8394	13890
339	8416	13862
340	8440	13836
341	8471	13822
342	8489	13785
343	8508	13752
344	8532	13726
345	8554	13697
346	8573	13662
347	8590	13626
348	8606	13588
349	8632	13565
350	8652	13533
351	8673	13503
352	8694	13472
353	8708	13432
354	8723	13392
355	8752	13374
356	8770	13339
357	8796	13316
358	8810	13277
359	8825	13238
360	8842	13203
361	8861	13170
362	8884	13143
363	8911	13122
364	8930	13090
365	8949	13057
366	8973	13032
367	8991	12998
368	9008	12962
369	9028	12933
370	9061	12921
371	9083	12892
372	9102	12860
373	9121	12828
374	9134	12787
375	9154	12758
376	9202	12766
377	9262	12790
378	9299	12783
379	9338	12778
380	9358	12748
381	9376	12715
382	9399	12687
383	9421	12660
384	9438	12625
385	9458	12594
386	9475	12560
387	9494	12528
388	9513	12497
389	9533	12467
390	9547	12429
391	9572	12405
392	9588	12370
